"All test cases below should be initiated with the following initial conditions:
CFTP.FILEMANAGER.SHARE.039,Verify able to Change Expiry for two shared with password files,- Shared files with/without password ->the Shares folder appears with these shared files,Select two files have status Password Protected,,,,,
,,,Right click on them,,"The option list will show as: Copy Link, Change Expiry, Change Password, Remove Password, Stop Sharing, and Delete",,,
,,,Select Change Expiry option,,The Change Expiry form appears,,,
,,,Enter the new expiry date ,,,,,
,,,Click on the OK button,,The new Expiry date is applied for both files,,,
CFTP.FILEMANAGER.SHARE.039,Verify able to cancel Change Expiry for two shared with password files,- Shared files with/without password ->the Shares folder appears with these shared files,Select two files have status Password Protected,,,,,
,,,Right click on them,,"The option list will show as: Copy Link, Change Expiry, Change Password, Remove Password, Stop Sharing, and Delete",,,
,,,Select Change Expiry option,,The Change Expiry form appears,,,
,,,Click on the Cancel button,,The old Expiry date is still applied,,,
CFTP.FILEMANAGER.SHARE.040,Verify able to Remove Password for two shared with password files,- Shared files with/without password ->the Shares folder appears with these shared files,Select two files have status Password Protected,,,,,
,,,Right click on them,,"The option list will show as: Copy Link, Change Expiry, Change Password, Remove Password, Stop Sharing, and Delete",,,
,,,Select Remove Password option,,The Remove Password form appears,,,
,,,Click on the OK button,,The status of selected files is changed to Public,,,
CFTP.FILEMANAGER.SHARE.041,Verify able to cancel Remove Password for two shared with password files,- Shared files with/without password ->the Shares folder appears with these shared files,Select two files have status Password Protected,,,,,
,,,Right click on them,,"The option list will show as: Copy Link, Change Expiry, Change Password, Remove Password, Stop Sharing, and Delete",,,
,,,Select Remove Password option,,The Remove Password form appears,,,
,,,Click on the Cancel button,,The status of selected files is changed to Password Protected,,,
CFTP.FILEMANAGER.SHARE.042,Verify able to Stop Sharing for two shared with password files,- Shared files with/without password ->the Shares folder appears with these shared files,Select two files have status Password Protected,,,,,
,,,Right click on them,,"The option list will show as: Copy Link, Change Expiry, Change Password, Remove Password, Stop Sharing, and Delete",,,
,,,Select Stop Sharing option,,The Stop Sharing form appears,,,
,,,Click on the OK button,,The status of selected files is changed to Stopped,,,
CFTP.FILEMANAGER.SHARE.043,Verify able to cancel Stop Sharing for two shared with password files,- Shared files with/without password ->the Shares folder appears with these shared files,Select two files have status Password Protected,,,,,
,,,Right click on them,,"The option list will show as: Copy Link, Change Expiry, Change Password, Remove Password, Stop Sharing, and Delete",,,
,,,Select Stop Sharing option,,The Stop Sharing form appears,,,
,,,Click on the Cancel button,,The status of selected files is still Password Protected,,,
CFTP.FILEMANAGER.SHARE.044,Verify able to Delete for two shared with password files,- Shared files with/without password ->the Shares folder appears with these shared files,Select two files have status Password Protected,,,,,
,,,Right click on them,,"The option list will show as: Copy Link, Change Expiry, Change Password, Remove Password, Stop Sharing, and Delete",,,
,,,Select Delete option,,The Remove Share form appears,,,
,,,Click on the OK button,,The selected filed are deleted,,,
CFTP.FILEMANAGER.SHARE.045,Verify able to cancel Delete for two shared with password files,- Shared files with/without password ->the Shares folder appears with these shared files,Select two files have status Password Protected,,,,,
,,,Right click on them,,"The option list will show as: Copy Link, Change Expiry, Change Password, Remove Password, Stop Sharing, and Delete",,,
,,,Select Delete option,,The Remove Share form appears,,,
,,,Click on the Cancel button,,The status of selected files is still Password Protected,,,
CFTP.FILEMANAGER.SHARE.046,Verify able to copy link for two shared without password files,- Shared files with/without password ->the Shares folder appears with these shared files,Select two files have status Public,,,,,
,,,Right click on them,,"The option list will show as: Copy Link, Change Expiry, Change Password, Set Sharing, and Delete",,,
,,,Select Copy Link option,,The Copy Link form appears: 2 links copied to clipboard!,,,
,,,Click on the OK button,,The Copy Link for closed,,,
CFTP.FILEMANAGER.SHARE.047,Verify able to Change Expiry for two shared without password files,- Shared files with/without password ->the Shares folder appears with these shared files,Select two files have status Public,,,,,
,,,Right click on them,,"The option list will show as: Copy Link, Change Expiry, Change Password, Set Sharing, and Delete",,,
,,,Select Change Expiry option,,The Change Expiry form appears,,,
,,,Enter the new expiry date ,,,,,
,,,Click on the OK button,,The new Expiry date is applied for both files,,,
